date,close
2024-12-02,95.34
2024-12-03,94.57
2024-12-04,93.98
2024-12-05,90.33
2024-12-06,93.08
2024-12-09,94.88
2024-12-10,94.42
2024-12-11,95.67
2024-12-12,96.16
2024-12-13,95.33
2024-12-16,96.92
2024-12-17,96.47
2024-12-18,95.99
2024-12-19,94.8
2024-12-20,95.55
2024-12-23,95.44
2024-12-24,96.34
2024-12-25,95.43
2024-12-26,95.68
2024-12-27,94.33
2024-12-30,95.68
2024-12-31,96.02
2025-01-01,96.59
2025-01-02,97.29
2025-01-03,95.73
2025-01-06,97.01
2025-01-07,100.38
2025-01-08,97.77
2025-01-09,95.08
2025-01-10,92.81
2025-01-13,94.14
2025-01-14,94.39
2025-01-15,96.11
2025-01-16,97.3
2025-01-17,97.68
2025-01-20,98.18
2025-01-21,97.96
2025-01-22,99.4
2025-01-23,97.63
2025-01-24,97.0
2025-01-27,97.43
2025-01-28,100.39
2025-01-29,99.19
2025-01-30,97.5
2025-01-31,96.65
2025-02-03,98.24
2025-02-04,97.91
2025-02-05,100.1
2025-02-06,97.12
2025-02-07,98.98
2025-02-10,100.72
2025-02-11,98.45
2025-02-12,98.74
2025-02-13,100.78
2025-02-14,100.97
2025-02-17,102.68
2025-02-18,106.8
2025-02-19,107.33
2025-02-20,106.89
2025-02-21,105.6
2025-02-24,106.77
2025-02-25,106.48
2025-02-26,106.22
2025-02-27,106.08
2025-02-28,107.27
2025-03-03,105.46
2025-03-04,102.9
2025-03-05,98.92
2025-03-06,100.93
2025-03-07,101.1
2025-03-10,103.68
2025-03-11,103.71
2025-03-12,102.5
2025-03-13,103.36
2025-03-14,103.28
2025-03-17,101.22
2025-03-18,99.81
2025-03-19,102.79
2025-03-20,103.44
2025-03-21,104.19
2025-03-24,103.77
2025-03-25,102.65
2025-03-26,104.21
2025-03-27,104.08
2025-03-28,102.84
2025-03-31,102.66
2025-04-01,101.2
2025-04-02,101.56
2025-04-03,103.5
2025-04-04,102.14
2025-04-07,104.61
2025-04-08,103.52
2025-04-09,103.83
2025-04-10,102.46
2025-04-11,102.14
2025-04-14,102.26
2025-04-15,101.58
2025-04-16,100.47
2025-04-17,99.4
2025-04-18,98.12
2025-04-21,95.67
2025-04-22,95.31
2025-04-23,95.98
2025-04-24,97.46
2025-04-25,98.55
2025-04-28,102.64
2025-04-29,103.23
2025-04-30,102.5
2025-05-01,105.74
2025-05-02,103.99
2025-05-05,105.71
2025-05-06,104.11
2025-05-07,104.77
2025-05-08,101.49
2025-05-09,103.04
2025-05-12,102.82
2025-05-13,101.25
2025-05-14,104.12
2025-05-15,105.49
2025-05-16,105.61
2025-05-19,104.38
2025-05-20,104.35
2025-05-21,104.12
2025-05-22,105.41
2025-05-23,106.85
2025-05-26,105.74
2025-05-27,104.84
2025-05-28,103.98
2025-05-29,101.75
2025-05-30,100.82
2025-06-02,100.71
2025-06-03,101.9
2025-06-04,104.18
2025-06-05,102.86
2025-06-06,103.84
2025-06-09,103.13
2025-06-10,106.75
2025-06-11,106.71
2025-06-12,107.64
2025-06-13,106.05
2025-06-16,104.7
2025-06-17,105.1
2025-06-18,104.48
2025-06-19,105.14
2025-06-20,102.53
2025-06-23,103.7
2025-06-24,102.23
2025-06-25,105.2
2025-06-26,104.75
2025-06-27,106.7
2025-06-30,104.34
2025-07-01,105.12
2025-07-02,103.65
2025-07-03,102.88
2025-07-04,102.97
2025-07-07,102.48
2025-07-08,102.97
2025-07-09,104.29
2025-07-10,105.46
2025-07-11,105.36
2025-07-14,103.08
2025-07-15,101.78
2025-07-16,101.5
2025-07-17,98.07
2025-07-18,99.34
2025-07-21,98.99
2025-07-22,98.63
2025-07-23,100.22
2025-07-24,101.37
2025-07-25,101.79
2025-07-28,100.18
2025-07-29,100.73
2025-07-30,101.35
2025-07-31,99.94
2025-08-01,101.71
2025-08-04,102.61
2025-08-05,99.39
2025-08-06,99.64
2025-08-07,97.64
2025-08-08,99.52
2025-08-11,100.89
2025-08-12,99.13
2025-08-13,97.75
2025-08-14,97.96
2025-08-15,97.62
2025-08-18,100.14
2025-08-19,101.41
2025-08-20,100.98
2025-08-21,101.99
2025-08-22,98.7
2025-08-25,99.25
2025-08-26,100.71
2025-08-27,100.46
2025-08-28,99.35
2025-08-29,100.32
2025-09-01,103.63
2025-09-02,104.03
2025-09-03,102.19
2025-09-04,104.68
2025-09-05,101.56
2025-09-08,102.45
2025-09-09,101.52
2025-09-10,103.13
2025-09-11,101.75
2025-09-12,104.03
2025-09-15,104.59
2025-09-16,101.72
2025-09-17,98.53
2025-09-18,98.07
2025-09-19,100.21
2025-09-22,100.47
2025-09-23,100.62
2025-09-24,100.28
2025-09-25,101.55
2025-09-26,102.23
2025-09-29,102.74
2025-09-30,101.15
2025-10-01,103.18
2025-10-02,105.56
2025-10-03,103.38
2025-10-06,107.4
2025-10-07,108.73
2025-10-08,107.91
2025-10-09,104.65
2025-10-10,105.83
2025-10-13,106.85
2025-10-14,105.86
2025-10-15,102.85
2025-10-16,104.81
2025-10-17,103.85
2025-10-20,103.1
2025-10-21,108.07
2025-10-22,111.95
2025-10-23,113.77
2025-10-24,112.97
2025-10-27,114.24
2025-10-28,110.1
2025-10-29,110.34
2025-10-30,109.02
2025-10-31,106.8
2025-11-03,104.12
2025-11-04,105.07
2025-11-05,105.27
2025-11-06,105.59
2025-11-07,107.11
2025-11-10,105.68
2025-11-11,103.61
2025-11-12,100.69
2025-11-13,100.18
2025-11-14,101.49
2025-11-17,101.28
2025-11-18,102.4
2025-11-19,100.48
2025-11-20,99.76
2025-11-21,98.56
2025-11-24,96.61
2025-11-25,99.65
2025-11-26,101.09
2025-11-27,99.89
2025-11-28,98.69
2025-12-01,98.64
2025-12-02,96.38
2025-12-03,97.12
2025-12-04,95.12
2025-12-05,94.59
2025-12-08,93.06
2025-12-09,92.37
2025-12-10,90.42
2025-12-11,88.17
2025-12-12,86.82
2025-12-15,85.9
2025-12-16,85.52
2025-12-17,85.66
2025-12-18,87.87
2025-12-19,89.09
2025-12-22,88.76
2025-12-23,89.86
2025-12-24,88.9
2025-12-25,91.07
2025-12-26,91.94
2025-12-29,89.96
2025-12-30,91.12
2025-12-31,92.39
2026-01-01,88.46
2026-01-02,87.42
2026-01-05,86.78
2026-01-06,84.12
2026-01-07,82.7
2026-01-08,81.47
2026-01-09,82.19
2026-01-12,82.63
2026-01-13,86.3
2026-01-14,85.78
2026-01-15,87.46
2026-01-16,87.61
2026-01-19,88.04
2026-01-20,86.43
2026-01-21,83.8
2026-01-22,82.79
2026-01-23,83.87
2026-01-26,86.12
2026-01-27,87.01
2026-01-28,87.77
2026-01-29,86.61
2026-01-30,88.85
2026-02-02,90.87
2026-02-03,90.13
2026-02-04,90.1
2026-02-05,88.68
2026-02-06,90.88
2026-02-09,91.53
2026-02-10,91.43
2026-02-11,92.08
2026-02-12,92.79
2026-02-13,92.21
2026-02-16,90.4
2026-02-17,88.56
2026-02-18,86.11
2026-02-19,86.81
2026-02-20,90.06
